query_user_id,rank,candidate_user_id,score
user_0168255c,1,user_b16e0cf8,0.880570
user_0168255c,2,user_02d03e8a,0.878058
user_0168255c,3,user_b23aa915,0.875695
user_0168255c,4,user_adab54a0,0.869392
user_0168255c,5,user_f654c33b,0.865415
user_0168255c,6,user_ef954c6e,0.844007
user_0168255c,7,user_a4a77a7d,0.842113
user_0168255c,8,user_17607ebc,0.838892
user_0168255c,9,user_886f7373,0.834616
user_0168255c,10,user_5881b259,0.832378
user_0168255c,11,user_5c5a0b40,0.829941
user_0168255c,12,user_c5f32c0d,0.829476
user_0168255c,13,user_bf69de98,0.828815
user_0168255c,14,user_afff552a,0.827671
user_0168255c,15,user_80dc757f,0.827088
user_02016939,1,user_b45d0d20,0.815679
user_02016939,2,user_aae78e0d,0.603565
user_02016939,3,user_33f2a818,0.590462
user_02016939,4,user_2f766c23,0.576161
user_02016939,5,user_7d6962d9,0.574984
user_02016939,6,user_3ce4c1f8,0.566493
user_02016939,7,user_4607d25d,0.550722
user_02016939,8,user_567057e7,0.548772
user_02016939,9,user_9fefea54,0.540518
user_02016939,10,user_1fb646f2,0.534226
user_02016939,11,user_d9b8914f,0.524671
user_02016939,12,user_f14dc486,0.522711
user_02016939,13,user_543e79f5,0.507423
user_02016939,14,user_2920b35e,0.505443
user_02016939,15,user_6ae9ce92,0.504603
user_0285dee3,1,user_5d35f631,0.816173
user_0285dee3,2,user_79f04645,0.798181
user_0285dee3,3,user_c4b781ce,0.787836
user_0285dee3,4,user_5349c6cf,0.760231
user_0285dee3,5,user_01916bd2,0.748753
user_0285dee3,6,user_d70942c1,0.746044
user_0285dee3,7,user_9d65649f,0.742973
user_0285dee3,8,user_a8dc91a3,0.741037
user_0285dee3,9,user_756e2f00,0.740358
user_0285dee3,10,user_29cd4556,0.735722
user_0285dee3,11,user_43a979d2,0.732130
user_0285dee3,12,user_954805d7,0.726262
user_0285dee3,13,user_69a4dd06,0.720326
user_0285dee3,14,user_0285dee3,0.715033
user_0285dee3,15,user_8fe14601,0.713715
user_02d03e8a,1,user_906e2423,0.747381
user_02d03e8a,2,user_55058479,0.735213
user_02d03e8a,3,user_9bee2a7c,0.703495
user_02d03e8a,4,user_2e05a7a0,0.702698
user_02d03e8a,5,user_69a4dd06,0.700969
user_02d03e8a,6,user_6d2cb415,0.690375
user_02d03e8a,7,user_6fbf6191,0.685348
user_02d03e8a,8,user_74d27419,0.668598
user_02d03e8a,9,user_8006727d,0.666515
user_02d03e8a,10,user_56980aa9,0.664684
user_02d03e8a,11,user_96d9cb9a,0.663898
user_02d03e8a,12,user_380ddd3f,0.663222
user_02d03e8a,13,user_45d008d3,0.661993
user_02d03e8a,14,user_b9036662,0.661505
user_02d03e8a,15,user_cf393213,0.656903
user_02d8a1f8,1,user_afff552a,0.875398
user_02d8a1f8,2,user_b16e0cf8,0.843166
user_02d8a1f8,3,user_aa2fbe83,0.840268
user_02d8a1f8,4,user_dc32d458,0.828724
user_02d8a1f8,5,user_fba6bcd4,0.828114
user_02d8a1f8,6,user_b325310b,0.824401
user_02d8a1f8,7,user_17607ebc,0.822768
user_02d8a1f8,8,user_5881b259,0.819643
user_02d8a1f8,9,user_ee89e069,0.816494
user_02d8a1f8,10,user_1a2755b3,0.815677
user_02d8a1f8,11,user_d1d16d30,0.810827
user_02d8a1f8,12,user_f654c33b,0.810243
user_02d8a1f8,13,user_a01f16ac,0.809340
user_02d8a1f8,14,user_a00e0552,0.809303
user_02d8a1f8,15,user_095ff43e,0.808574
user_02fecea2,1,user_03410579,0.762088
user_02fecea2,2,user_364bb955,0.752267
user_02fecea2,3,user_b0129d9e,0.748652
user_02fecea2,4,user_1a7d6cd5,0.748355
user_02fecea2,5,user_02fecea2,0.746738
user_02fecea2,6,user_2cb4b018,0.736932
user_02fecea2,7,user_6c2d672f,0.733252
user_02fecea2,8,user_63b4be5f,0.731417
user_02fecea2,9,user_aabd2642,0.730349
user_02fecea2,10,user_93cdb7a1,0.727567
user_02fecea2,11,user_920c074a,0.725381
user_02fecea2,12,user_f51339f8,0.722932
user_02fecea2,13,user_13fb2e34,0.720332
user_02fecea2,14,user_500badda,0.716676
user_02fecea2,15,user_0d32f0ed,0.716613
user_03410579,1,user_18522854,0.662879
user_03410579,2,user_efcacf59,0.662432
user_03410579,3,user_cf393213,0.659326
user_03410579,4,user_6b86248b,0.655939
user_03410579,5,user_e51692a6,0.654604
user_03410579,6,user_33b2b77f,0.652668
user_03410579,7,user_46bb5302,0.650908
user_03410579,8,user_65d73ac1,0.648895
user_03410579,9,user_e838707b,0.641626
user_03410579,10,user_8be3f554,0.638165
user_03410579,11,user_c8f82360,0.637142
user_03410579,12,user_d67450a8,0.634677
user_03410579,13,user_183b3783,0.634245
user_03410579,14,user_a993555f,0.634113
user_03410579,15,user_c4c70447,0.633419
user_043ea160,1,user_043ea160,0.796166
user_043ea160,2,user_89e04335,0.716398
user_043ea160,3,user_38dc2894,0.715183
user_043ea160,4,user_d2c97c8e,0.703877
user_043ea160,5,user_394c25cc,0.702681
user_043ea160,6,user_3ae49e46,0.701075
user_043ea160,7,user_7f56f9a5,0.696337
user_043ea160,8,user_e838707b,0.694476
user_043ea160,9,user_f930e37f,0.688422
user_043ea160,10,user_8be3f554,0.678424
user_043ea160,11,user_b350e22b,0.677996
user_043ea160,12,user_94cad3a5,0.676205
user_043ea160,13,user_9a307ebe,0.674753
user_043ea160,14,user_d849ac6e,0.669511
user_043ea160,15,user_f6188968,0.666786
user_04d29f9c,1,user_dd1d7b22,0.773384
user_04d29f9c,2,user_0cee87f3,0.748329
user_04d29f9c,3,user_1a2755b3,0.746545
user_04d29f9c,4,user_bd19a016,0.744910
user_04d29f9c,5,user_df3c19a7,0.739045
user_04d29f9c,6,user_fde2d265,0.737636
user_04d29f9c,7,user_15179955,0.737310
user_04d29f9c,8,user_84e93af7,0.733058
user_04d29f9c,9,user_f030b951,0.723006
user_04d29f9c,10,user_40a0bad3,0.721287
user_04d29f9c,11,user_c39d41d7,0.720283
user_04d29f9c,12,user_3ff3188b,0.711728
user_04d29f9c,13,user_3e1f9dc1,0.708516
user_04d29f9c,14,user_43a979d2,0.707932
user_04d29f9c,15,user_d1d16d30,0.705258
user_04d8419e,1,user_32934d38,0.784018
user_04d8419e,2,user_07ec3726,0.763383
user_04d8419e,3,user_4a57e449,0.742091
user_04d8419e,4,user_c7beef01,0.726767
user_04d8419e,5,user_0bd8ba7c,0.726764
user_04d8419e,6,user_c8f82360,0.708446
user_04d8419e,7,user_9b6481e4,0.706711
user_04d8419e,8,user_8a3bbeb2,0.704495
user_04d8419e,9,user_fe922ad0,0.693221
user_04d8419e,10,user_d67450a8,0.691452
user_04d8419e,11,user_2e05a7a0,0.689394
user_04d8419e,12,user_18522854,0.689131
user_04d8419e,13,user_8006727d,0.686024
user_04d8419e,14,user_9bee2a7c,0.680469
user_04d8419e,15,user_b8f24804,0.679785
user_0521a7ac,1,user_7cb1ae65,0.609998
user_0521a7ac,2,user_c1aa2063,0.591455
user_0521a7ac,3,user_33f2a818,0.575440
user_0521a7ac,4,user_0dfb7397,0.521562
user_0521a7ac,5,user_b1c16312,0.515634
user_0521a7ac,6,user_b8f24804,0.506923
user_0521a7ac,7,user_d5d4fc6e,0.496045
user_0521a7ac,8,user_6d2cb415,0.494747
user_0521a7ac,9,user_a4aab257,0.491557
user_0521a7ac,10,user_9ffdf5e5,0.488766
user_0521a7ac,11,user_b2dd04c8,0.485019
user_0521a7ac,12,user_829844fd,0.483783
user_0521a7ac,13,user_d20928cc,0.474518
user_0521a7ac,14,user_79a1811b,0.471725
user_0521a7ac,15,user_51779823,0.466605
user_058c1800,1,user_c4c70447,0.829849
user_058c1800,2,user_6fc85c06,0.791599
user_058c1800,3,user_058c1800,0.778199
user_058c1800,4,user_e59c000f,0.774576
user_058c1800,5,user_84c14a6f,0.768335
user_058c1800,6,user_6a13946a,0.764422
user_058c1800,7,user_94f185bc,0.764249
user_058c1800,8,user_a75b16f2,0.763991
user_058c1800,9,user_f930e37f,0.759785
user_058c1800,10,user_f60a09b3,0.758216
user_058c1800,11,user_0898fc4b,0.757988
user_058c1800,12,user_5c82df31,0.755646
user_058c1800,13,user_ff7631ef,0.750126
user_058c1800,14,user_7fd91653,0.745634
user_058c1800,15,user_40a0bad3,0.744212
